start_x1,start_x2,step,x1_steepest_descent,x2_steepest_descent,y_steepest_descent,f_calls_steepest_descent,g_calls_steepest_descent,h_calls_steepest_descent,x1_conjugate_gradients,x2_conjugate_gradients,y_conjugate_gradients,f_calls_conjugate_gradients,g_calls_conjugate_gradients,h_calls_conjugate_gradients,x1_newton_method,x2_newton_method,y_newton_method,f_calls_newton_method,g_calls_newton_method,h_calls_newton_method
-7.448238474618599,3.52893196558294,M.zk.,0.999999995568138,2.999999986695895,1.4548986789259449e-15,162,10,0,1.0000019749768554,2.999997734853025,9.368219187830409e-12,513,25,0,0.99999998812042,2.9999999643541186,1.0446431129547184e-14,73,6,6
5.141003799339208,6.5180840654502,"0,12",-5.741418741011393e+64,-5.741418741011393e+64,5.9335000487346345e+130,1,1000,0,-1.1991062115554102e+26,-1.1990541683617654e+26,2.5880279436474462e+53,1,23,0,0.9999970888984445,3.000002486377563,1.5378147533124864e-11,1,200,200
5.141003799339208,6.5180840654502,"0,05",1.000002906321416,2.999997093678584,1.689340835106245e-11,1,121,0,3.296726472612283e+152,3.296726472612283e+152,1.956312978340073e+306,1,399,0,0.9999969848781753,3.0000025752214787,1.649677453751967e-11,1,487,487
5.141003799339208,6.5180840654502,M.zk.,0.999999995568138,2.999999986695895,1.4548986789259449e-15,162,10,0,1.0000019749768554,2.999997734853025,9.368219187830409e-12,513,25,0,0.99999998812042,2.9999999643541186,1.0446431129547184e-14,73,6,6
-6.619374887502209,5.200179961231576,"0,12",-5.741418741011393e+64,-5.741418741011393e+64,5.9335000487346345e+130,1,1000,0,-1.1991062115554102e+26,-1.1990541683617654e+26,2.5880279436474462e+53,1,23,0,0.9999970888984445,3.000002486377563,1.5378147533124864e-11,1,200,200
-6.619374887502209,5.200179961231576,"0,05",1.000002906321416,2.999997093678584,1.689340835106245e-11,1,121,0,3.296726472612283e+152,3.296726472612283e+152,1.956312978340073e+306,1,399,0,0.9999969848781753,3.0000025752214787,1.649677453751967e-11,1,487,487
-6.619374887502209,5.200179961231576,M.zk.,0.999999995568138,2.999999986695895,1.4548986789259449e-15,162,10,0,1.0000019749768554,2.999997734853025,9.368219187830409e-12,513,25,0,0.99999998812042,2.9999999643541186,1.0446431129547184e-14,73,6,6
8.5094890972338,-4.219781152602298,"0,12",-5.741418741011393e+64,-5.741418741011393e+64,5.9335000487346345e+130,1,1000,0,-1.1991062115554102e+26,-1.1990541683617654e+26,2.5880279436474462e+53,1,23,0,0.9999970888984445,3.000002486377563,1.5378147533124864e-11,1,200,200
8.5094890972338,-4.219781152602298,"0,05",1.000002906321416,2.999997093678584,1.689340835106245e-11,1,121,0,3.296726472612283e+152,3.296726472612283e+152,1.956312978340073e+306,1,399,0,0.9999969848781753,3.0000025752214787,1.649677453751967e-11,1,487,487
8.5094890972338,-4.219781152602298,M.zk.,0.999999995568138,2.999999986695895,1.4548986789259449e-15,162,10,0,1.0000019749768554,2.999997734853025,9.368219187830409e-12,513,25,0,0.99999998812042,2.9999999643541186,1.0446431129547184e-14,73,6,6
3.645661250159897,-8.63400995713416,"0,12",-5.741418741011393e+64,-5.741418741011393e+64,5.9335000487346345e+130,1,1000,0,-1.1991062115554102e+26,-1.1990541683617654e+26,2.5880279436474462e+53,1,23,0,0.9999970888984445,3.000002486377563,1.5378147533124864e-11,1,200,200
3.645661250159897,-8.63400995713416,"0,05",1.000002906321416,2.999997093678584,1.689340835106245e-11,1,121,0,3.296726472612283e+152,3.296726472612283e+152,1.956312978340073e+306,1,399,0,0.9999969848781753,3.0000025752214787,1.649677453751967e-11,1,487,487
3.645661250159897,-8.63400995713416,M.zk.,0.999999995568138,2.999999986695895,1.4548986789259449e-15,162,10,0,1.0000019749768554,2.999997734853025,9.368219187830409e-12,513,25,0,0.99999998812042,2.9999999643541186,1.0446431129547184e-14,73,6,6
-8.37772367939247,6.370527631524983,"0,12",-5.741418741011393e+64,-5.741418741011393e+64,5.9335000487346345e+130,1,1000,0,-1.1991062115554102e+26,-1.1990541683617654e+26,2.5880279436474462e+53,1,23,0,0.9999970888984445,3.000002486377563,1.5378147533124864e-11,1,200,200
-8.37772367939247,6.370527631524983,"0,05",1.000002906321416,2.999997093678584,1.689340835106245e-11,1,121,0,3.296726472612283e+152,3.296726472612283e+152,1.956312978340073e+306,1,399,0,0.9999969848781753,3.0000025752214787,1.649677453751967e-11,1,487,487
-8.37772367939247,6.370527631524983,M.zk.,0.999999995568138,2.999999986695895,1.4548986789259449e-15,162,10,0,1.0000019749768554,2.999997734853025,9.368219187830409e-12,513,25,0,0.99999998812042,2.9999999643541186,1.0446431129547184e-14,73,6,6
-4.727925955109836,-4.714873311405807,"0,12",-5.741418741011393e+64,-5.741418741011393e+64,5.9335000487346345e+130,1,1000,0,-1.1991062115554102e+26,-1.1990541683617654e+26,2.5880279436474462e+53,1,23,0,0.9999970888984445,3.000002486377563,1.5378147533124864e-11,1,200,200
-4.727925955109836,-4.714873311405807,"0,05",1.000002906321416,2.999997093678584,1.689340835106245e-11,1,121,0,3.296726472612283e+152,3.296726472612283e+152,1.956312978340073e+306,1,399,0,0.9999969848781753,3.0000025752214787,1.649677453751967e-11,1,487,487
