t,x,y
1.35,13.031188260150074,87.86737304871816
1.36,13.134809150822258,87.66962345606638
1.37,13.238697672211707,87.46981588537831
1.3800000000000001,13.342858021784703,87.26793015551333
1.3900000000000001,13.447294428114546,87.0639455905687
1.4000000000000001,13.55201115088154,86.85784101987957
1.41,13.65701248087302,86.64959477801905
1.42,13.762302739983333,86.43918470479807
1.43,13.867886281213845,86.2265881452655
1.44,13.973767488672934,86.0117819497081
1.45,14.079950777575997,85.79474247365053
1.46,14.18644059424545,85.57544557785535
1.47,14.293241416110721,85.35386662832303
1.48,14.40035775170826,85.12998049629192
1.49,14.507794140681533,84.90376155823827
1.5,14.61555515378102,84.67518369587626
1.51,14.723645392864219,84.44422029615791
1.52,14.832069490895648,84.21084425127319
1.53,14.940832111946836,83.97502795864996
1.54,15.049937951196338,83.73674332095395
1.55,15.15939173492971,83.49596174608881
1.56,15.269198220539547,83.25265414719611
1.57,15.379362196525438,83.00679094265527
1.58,15.489888482494006,82.75834205608366
1.59,15.600781929158883,82.50727691633652
1.6,15.71204741834072,82.25356445750697
1.61,15.823689862967182,81.99717311892609
1.62,15.935714207072955,81.73807084516278
1.6300000000000001,16.04812542579974,81.4762250860239
1.6400000000000001,16.160928525396255,81.21160279655419
1.6500000000000001,16.274128543218232,80.94417043703628
1.6600000000000001,16.387730547728424,80.67389397299071
1.67,16.501739638496595,80.40073887517593
1.68,16.616160946199543,80.12467011958825
1.69,16.730999632621057,79.84565218746191
1.7,16.846260890651966,79.56364906526903
1.71,16.961949944290097,79.27862424471967
1.72,17.07807204864031,78.99054072276172
1.73,17.19463248991447,78.69936100158105
1.74,17.311636585431458,78.40504708860135
1.75,17.429089683617192,78.10756049648427
1.76,17.54699716400458,77.80686224312932
1.77,17.665364437233563,77.50291285167393
1.78,17.7841969450511,77.19567235049341
1.79,17.903500160311147,76.885100273201
1.8,18.02327958697471,76.57115565864781
1.81,18.14354076010978,76.25379705092286
1.82,18.264289245891383,75.93298249935305
1.83,18.385530641601562,75.60866955850322
1.84,18.507270575629363,75.28081528817606
1.85,18.62951470747086,74.94937625341221
1.86,18.75226872772915,74.61430852449017
1.87,18.875538358114326,74.27556767692636
1.8800000000000001,18.99932935144352,73.93310879147506
1.8900000000000001,19.12364749164087,73.5868864541285
1.9000000000000001,19.248498593737523,73.2368547561168
1.9100000000000001,19.37388850387167,72.88296729390794
1.92,19.499823099288484,72.52517716920786
1.93,19.62630828834018,72.16343698896033
1.94,19.75335001048598,71.79769886534706
1.95,19.880960965661046,71.42777573714474
1.96,20.009154720136817,71.05347883913727
1.97,20.13793781446857,70.67477262377783
1.98,20.26731702634314,70.29161646747652
1.99,20.397299373945522,69.90396459923869
2.0,20.527892115958892,69.5117661006649
2.0100000000000002,20.659102751564593,69.11496490595096
2.02,20.79093902044213,68.71349980188792
2.0300000000000002,20.92340890276921,68.30730442786208
2.04,21.056520619221665,67.89630727585497
2.05,21.190282630973538,67.48043169044335
2.06,21.324703639697034,67.05959586879922
2.07,21.459792587562507,66.63371286068985
2.08,21.595558657238517,66.20269056847772
2.09,21.732011271891764,65.76643174712055
2.1,21.869160095187144,65.3248340041713
2.11,22.0070150312877,64.8777897997782
2.12,22.14558622485468,64.42518644668466
2.13,22.284884061047464,63.9669061102294
2.14,22.424919165523633,63.502825808346316
2.15,22.56570240443892,63.032817411564594
2.16,22.70724488444725,62.556747643008606
2.17,22.849557952700696,62.07447807839803
2.18,22.992653196849528,61.58586514604771
2.19,23.136542445042156,61.090760126867806
2.2,23.28123776592519,60.589009154363644
2.21,23.426751468643396,60.080453214635845
2.22,23.573096102839724,59.564928146380225
2.23,23.720284458655268,59.04226464088789
2.24,23.86832956672933,58.51228824204513
2.25,24.017244698199352,57.97481934633353
2.2600000000000002,24.167043364700973,57.42967320282985
2.27,24.317739318367977,56.876659913206176
2.2800000000000002,24.46934655183235,56.315584431729725
2.29,24.62187929822421,55.746246565263064
2.3000000000000003,24.775352031171895,55.1684409732639
2.31,24.929779464801864,54.58195716778527
2.32,25.085176553738787,53.986579513475384
2.33,25.241558493105494,53.38208722757769
2.34,25.398940718522965,52.76825437993095
2.35,25.55733890611038,52.14484989296906
2.36,25.716768972485077,51.511637541721264
2.37,25.877247074762572,50.86837595381195
2.38,26.038789610556535,50.21481860946082
2.39,26.201413217978832,49.55071384148273
2.4,26.36513477563948,48.875804835287894
2.41,26.529971402646684,48.18982962888164
2.42,26.695940458606803,47.492521112864665
2.43,26.863067169294325,46.783281532191566
2.44,27.031386171410304,46.06119446103645
2.45,27.200916325213782,45.32609584538975
2.46,27.37167744439561,44.57779421908591
2.47,27.54369096032173,43.81604111302827
2.48,27.716979922033147,43.04053105518936
2.49,27.89156899624596,42.25090157061059
2.5,28.06748446735134,41.44673318140253
2.5100000000000002,28.244754237415542,40.62754940674466
2.52,28.423407826179886,39.79281676288565
2.5300000000000002,28.6034763710608,38.94194476314301
2.54,28.784992627149755,38.074285917903474
2.5500000000000003,28.967990967213332,37.18913573462264
2.56,29.152507381693173,36.2857327178253
2.57,29.338579478706006,35.36325836910514
2.58,29.526246484043646,34.4208371871249
2.59,29.71554924117297,33.45753666761648
2.6,29.90653021123595,32.47236730338062
2.61,30.099233473049615,31.464282584287297
2.62,30.293704723106114,30.432178997275305
2.63,30.489991275572628,29.374896026352687
2.64,30.68814206229145,28.291216152596313
2.65,30.888207632779938,27.17986485415229
2.66,31.09024015423054,26.03951060623554
2.67,31.294293411510758,24.868764881130243
2.68,31.50042280716322,23.666182148189392
2.69,31.70868536140557,22.430259873835226
2.7,31.9191397121306,21.1594385215588
2.71,32.131846114906125,19.85210155192042
2.72,32.34686644297507,18.506575422549226
2.73,32.56426488195727,17.121095294891006
2.74,32.78414700943029,15.6920118254647
2.75,33.006613051561985,14.216329356975036
2.7600000000000002,33.23175212463494,12.69160169510533
2.77,33.45966376185201,11.114789261141834
2.7800000000000002,33.690457913336424,9.482259091973184
2.79,33.92425494613165,7.789784840090968
